sample_id,material,E_eff_MPa,sigma_y_MPa,source,measured_porosity,relative_density,porosity_pct,mat_key,E_s,E_norm
M12_01TS80_01_20220607,M12,31.97275978691492,2.525528858661479,Experimental,75.6870508643669,0.243129491356331,,M12,,
T20_01TS85_01_20211129,T20,41.3627634161917,1.446992271685169,Experimental,86.20893214800238,0.1379106785199763,,HTB,1291.4,0.032029397100969255
M12_01TS55_03_20220609,M12,131.85721992585206,6.660046020960112,Experimental,38.46237782731371,0.6153762217268629,,M12,,
T15_01TS80_01_20220303,T15,43.96074249621867,1.9673253244929545,Experimental,75.85039022235313,0.24149609777646874,,T15,,
GPR_02TS70_03_20220211,GPR,180.7589863656546,7.3912358168011245,Experimental,59.85763428690562,0.40142365713094375,,GPR,1916.9,0.09429755666213918
RGD_02TS80_02_20220215,RGD,177.3039023328661,2.150670807594609,Experimental,73.13905727992234,0.26860942720077663,,RGD,,
HIC_01TS65_01_20220608,HIC,124.70100015046059,6.243839050267198,Experimental,35.77314814814816,0.6422685185185184,,HIC,873.9,0.1426948165127138
ERB_01TS80_01_20220221,ERB,18.754741012925383,1.8623048754841096,Experimental,74.4414909503614,0.255585090496386,,ERB,,
DFT_01TS60_01_20220303,DFT,158.1137398176232,6.929380921095223,Experimental,51.3154677138624,0.48684532286137605,,DFT,,
BMC_02TS60_03_20220221,BMC,247.3653426179961,9.808412308394614,Experimental,51.23438945420909,0.48765610545790916,,BMC,,
M13_01TS55_03_20220221,M13,262.87535979843506,12.559959243580327,Experimental,39.83389355320078,0.6016610644679922,,M13,,
HTC_01TS55_02_20220607,HTC,278.8257031653672,10.76217412265061,Experimental,40.55850489878717,0.5944149510121284,,HTC,,
ERB_01TS60_03_20220221,ERB,114.18213857642394,5.779648465970457,Experimental,60.1905501463473,0.398094498536527,,ERB,,
M13_01TS75_03_20220221,M13,136.35907138624282,5.757479931789659,Experimental,60.03798441433156,0.3996201558566844,,M13,,
HTB_01TS80_02_20220609,HTB,26.658372016190068,1.2365606531176252,Experimental,88.23520731887264,0.11764792681127356,,HTB,1291.4,0.020643001406372978
GPR_02TS60_02_20220211,GPR,262.1674371823086,9.879444656754965,Experimental,50.56514422718945,0.4943485577281055,,GPR,1916.9,0.1367663608859662
HIC_01TS60_02_20220608,HIC,172.04600107411028,7.9196211398357415,Experimental,32.32870370370373,0.6767129629629627,,HIC,873.9,0.19687149682356136
ERB_01TS55_03_20220221,ERB,138.95167024838884,7.078356622458736,Experimental,51.33803237560484,0.48661967624395164,,ERB,,
DFT_01TS65_01_20220303,DFT,143.55570967357775,5.103001963682824,Experimental,57.02901365094436,0.4297098634905564,,DFT,,
HIG_01TS70_01_20220609,HIG,75.19664347146976,3.822283952069754,Experimental,54.600033438207696,0.45399966561792304,,HIG,,
RGD_02TS80_03_20220215,RGD,176.92745423879282,1.7206180821681951,Experimental,73.56448862003106,0.26435511379968946,,RGD,,
EGS_01TS75_03_20220301,EGS,10.240503801573773,1.920361415970555,Experimental,66.77009614355806,0.33229903856441934,,EGS,,
